ParticipantId,MeanAngularError,MeanEfficiency
EM21TA,64.34499650000001,2.1608139695272044
JO25TA,29.192509649999845,1.667841970121382
GR25BE,62.61997797501552,2.6653992657669123
AV16ME,58.08498699999999,3.0336479819200415
ch12cr,44.10249505,2.2682768865121807
MA21SA,37.890015999999996,2.4536833142347847
VA25JI,23.450031899999967,1.4690248068924538
KA15AN,40.55255050000001,2.379286032594856
TE03ZA,64.52750099999997,2.8344598293863
LU25MA,58.28999799999997,2.348381504116798
MI23GO,53.94000100000015,1.982155483405484
BI05IL,18.29000399999997,1.5559920634920634
AB04KO,66.2024855,2.4474696545284784
BR21FR,23.477502399999985,1.5865162125456242
TE25EL,15.367484999999991,1.2896825396825398
SO12RI,55.13750749999999,2.904452773533656
AL15MA,70.33998249999999,2.3320834394363805
IS04LI,66.01747785,2.231223898650369
BR22FA,17.01251755000001,1.6214425770308125
SA10YA,29.791236499999986,1.8852890777523132
KE17FI,13.447514499999992,1.621789321789322
YI11LI,47.83749915,2.314784186401833
XI31SH,21.09749259999999,2.1617703293438586
TA21CA,52.33999350000001,2.9564509061200237
CL26RO,52.320000999999934,2.373345747389865
Ji18Fe,36.05750175000001,1.7107227739580684
BE10AH,19.480002499999912,1.3231489262371614
HE29FI,43.48000814999999,2.2162670295390887
LU16WA,11.524986199999955,1.3859558823529412
SI14GA,53.05499699999999,1.8913311688311691
SH01GU,47.89749049999999,2.81179717341482
gi01ca,67.67998612000002,2.207359307359307
HA05KO,48.40749565000001,2.6764312770562775
HA25SH,48.74251015,2.381939988116459
RE19KA,23.632491699999967,2.820250721500722
lexietest,45.842496,2.609242158984806
LA27WA,39.2374645,1.6419190858161445
DA17HA,50.36250600000001,2.0027270074696544
XI03ME,56.90999220000001,2.4264006663271367
OL08JO,28.587491500000045,1.7680403828197946
TV10PA,39.827442999999924,2.047265459213989
RA28CH,50.52001755,3.4841165860283496
pi14me,58.797486499999955,2.940879541210424
BR17CH,40.82999494999999,2.1483737055428227
AL07ME,26.66250745,1.537667006196418
BR20CO,77.334978,3.149015204566675
TA26LE,25.4974965,1.6519282106782107
NI23DI,60.53497850000001,2.8237491511756216
CI13GA,52.05249150000005,2.9025427064765297
AU24FR,52.95748900000001,2.373173913504796
