@0
TrialName, TrialNumber, Time, X, Y, Rotation, Box Hit, Timeout
Learning,99,53.582,17.63511,114.7173,359.2,
Learning,99,54.083,17.51199,122.2195,358.55,
Learning,99,54.599,16.9187,129.9372,353.9,
Learning,99,55.099,16.11079,137.3963,353.45,
Learning,99,55.615,15.1804,145.0793,353.2,
Learning,99,56.131,14.26334,152.77,353.2,
Learning,99,56.632,13.4046,160.2304,353.95,
Learning,99,57.147,12.67961,167.9284,354.7,
Learning,99,57.664,11.96358,175.6494,354.75,
Learning,99,58.165,12.99563,182.892,24.69999,
Learning,99,58.665,18.71405,187.2314,72.89999,
Learning,99,59.165,25.86449,189.4933,70.2,
Learning,99,59.681,33.40418,191.0527,85.25,
Learning,99,60.198,41.14273,191.1327,90.60001,
Learning,99,60.698,48.57355,191.0549,90.60001,
Learning,99,61.198,50.27193,191.0371,90.70001,
Learning,99,61.715,50.27193,191.0371,91.00001,
Learning,99,62.215,50.27193,191.0371,90.85,
Learning,99,62.731,54.63986,190.8938,92.4,
Learning,99,63.232,62.13067,190.4636,100.15,
Learning,99,63.748,68.14558,186.0569,145.35,
Learning,99,64.249,71.76053,179.5627,168.05,
Learning,99,64.749,72.61604,172.1273,178.5,
Learning,99,65.249,72.80799,164.6219,178.55,
Learning,99,65.766,72.81739,156.8778,184.3,
Learning,99,66.283,72.23196,149.1441,184.35,
Learning,99,66.799,71.64471,141.4241,184.35,
Learning,99,67.299,71.14366,133.9386,180.15,
Learning,99,67.816,72.58442,126.4249,153.25,
Learning,99,68.316,77.38601,120.7701,123.2,
Learning,99,68.831,83.80364,116.4601,125.55,
Learning,99,69.348,90.74025,113.1436,106.05,
Learning,99,69.864,98.38303,112.0443,93.14997,
Learning,99,70.381,106.1248,111.6375,92.14997,
Learning,99,70.881,113.6171,111.2508,93.79996,
Learning,99,71.397,121.2673,111.8584,66.99999,
Learning,99,71.898,126.738,116.9215,31.89999,
Learning,99,72.415,129.741,124.0553,20.34999,
Learning,99,72.932,131.8564,131.4696,2.249986,
Learning,99,73.432,131.4894,138.965,353.45,
Learning,99,73.948,131.9551,146.5909,15.94999,
Learning,99,74.464,134.0887,154.0403,16.39999,
Learning,99,74.981,136.5032,161.3956,26.7,
Learning,99,75.481,141.9913,166.2526,65.6,
Learning,99,75.997,149.5844,167.6106,82.65002,
Learning,99,76.514,157.2613,168.6514,82.15002,
Learning,99,77.014,164.6983,169.6344,82.65004,
Learning,99,77.53,172.3822,170.6256,82.65004,
Learning,99,78.031,179.8241,171.5855,82.65004,
Learning,99,78.547,187.5104,172.577,82.65004,
Learning,99,79.048,194.9692,173.2821,92.70004,
Learning,99,79.564,201.8796,170.1962,128.95,
Learning,99,80.064,207.8134,165.6062,130.65,
Learning,99,80.58,210.7542,158.6006,171.85,
Learning,99,81.081,211.0452,151.1354,185,
Learning,99,81.597,211.2764,143.4501,169.75,
Learning,99,82.114,212.7072,135.8344,168.6,
Learning,99,82.631,214.3976,128.2646,166.1,
Learning,99,83.146,216.2405,120.757,166.4,
Learning,99,83.647,217.994,113.4497,166.8,
Learning,99,84.148,217.1291,106.1636,204.8,
Learning,99,84.649,215.5617,104.1165,231.85,
Learning,99,85.165,213.438,99.99997,209.1,
Learning,99,85.681,211.5371,92.55544,183.25,
Learning,99,86.197,211.647,84.81583,178.55,
Learning,99,86.712,211.8426,77.09016,178.55,
Learning,99,87.214,212.0329,69.57263,178.55,
Learning,99,87.714,212.2228,62.06771,178.55,
Learning,99,88.231,212.4062,54.32499,178.65,
Learning,99,88.747,212.5888,46.57565,178.65,
Learning,99,89.264,212.7713,38.83173,178.65,
Learning,99,89.764,212.948,31.33298,178.65,
Learning,99,90.281,213.0936,23.58053,179.55,
Learning,99,90.796,209.9235,16.84698,219.55,
Learning,99,91.297,203.6644,13.19734,259.65,
Learning,99,91.799,196.2326,12.05955,263.65,
Learning,99,92.299,188.7771,11.23247,264.4,
Learning,99,92.799,181.2935,10.73889,266.7,
Learning,99,93.315,173.5567,10.2987,266.7501,
Learning,99,93.832,165.8178,9.859253,266.7501,
Learning,99,94.332,158.3603,10.16001,279.8,
Learning,99,94.849,150.6806,10.94167,268.2,
Learning,99,95.364,142.9612,10.61266,267.5,
Learning,99,95.882,135.2064,10.27408,267.5,
Learning,99,96.397,127.4805,9.936763,267.5,
Learning,99,96.897,119.986,9.609548,267.5,
Learning,99,97.398,112.4848,9.282043,267.5,
Learning,99,97.898,105.1293,10.1014,299,
Learning,99,98.415,99.07948,14.90909,321.85,
Learning,99,98.915,96.95206,22.03448,355.95,
Learning,99,99.415,96.58814,29.52915,357.25,
Learning,99,99.931,96.21693,37.25733,357.25,
Learning,99,100.432,95.85635,44.76422,357.25,
Learning,99,100.949,95.48454,52.5049,357.25,
Learning,99,101.449,94.65452,59.95196,347.4,
Learning,99,101.965,90.40802,66.22404,312.3,
Learning,99,102.465,84.97635,71.39813,313.75,
Learning,99,102.981,78.00085,74.59003,290.1,
Learning,99,103.498,70.51762,75.01006,251.8,
Learning,99,104.014,63.37729,72.18479,227.4,
Learning,99,104.514,59.27317,65.95119,199,
Learning,99,105.014,57.68607,58.62589,189.75,
Learning,99,105.531,56.60387,50.95883,187.3,
Learning,99,106.031,54.95969,43.65263,199.5,
Learning,99,106.547,50.82257,37.25971,232.55,
Learning,99,107.062,43.63562,34.51254,251.3,
Learning,99,107.564,36.33298,32.77671,260.65,
Learning,99,108.079,28.68144,32.07788,282.9,
Learning,99,108.582,22.86794,36.49137,333.55,
Learning,99,109.097,19.29925,43.34003,329.65,
Learning,99,109.598,16.87154,50.37314,350.65,
Learning,99,110.098,16.39581,57.85695,357.4,
Learning,99,110.614,16.03231,65.58346,357.3,
Learning,99,111.131,15.66683,73.33329,357.3,
Learning,99,111.631,15.31598,80.82857,357.35,
Learning,99,112.148,14.97044,88.56751,357.45,
Learning,99,112.648,14.63653,96.06505,357.45,
Learning,99,113.164,14.29206,103.7997,357.45,
Learning,99,113.665,13.95812,111.2981,357.45,
Learning,99,114.181,13.61371,119.0314,357.45,
Learning,99,114.681,14.16711,126.4905,8.949971,
Learning,99,115.197,14.87587,134.1755,359.35,
Learning,99,115.714,14.78802,141.9193,359.35,
Learning,99,116.23,14.70149,149.6596,359.4,
Learning,99,116.731,14.65402,157.1751,359.7,
Learning,99,117.231,14.54103,164.6798,356.9,
Learning,99,117.732,13.86143,172.1577,354.5,
Learning,99,118.247,13.72788,179.8632,6.44997,
Learning,99,118.747,17.81855,185.7305,53.39998,
Learning,99,119.248,24.36261,189.2376,75.19998,
Learning,99,119.765,31.83221,191.307,73.74997,
Learning,99,120.281,39.40876,192.7336,91.84999,
Learning,99,120.798,47.12411,192.027,94.75,
Learning,99,121.314,54.86255,191.6705,88.89999,
Learning,99,121.815,62.32345,191.1735,105.65,
Learning,99,122.331,67.88926,186.2693,158.2,
Learning,99,122.832,69.37968,178.9218,170.05,
Learning,99,123.346,69.76855,171.2263,179.05,
Learning,99,123.849,69.89355,163.6885,179.05,
Learning,99,124.365,69.95303,155.9466,179.7,
Learning,99,124.882,69.99363,148.1939,179.7,
Learning,99,125.383,70.033,140.6766,179.7,
Learning,99,125.899,70.15179,132.9362,176.15,
Learning,99,126.415,72.17497,125.5536,150.25,
Learning,99,126.915,77.15419,119.987,130.15,
Learning,99,127.431,84.0583,116.6165,110.5,
Learning,99,127.946,91.30135,113.9084,110.5,
Learning,99,128.447,98.34502,111.285,109.6,
Learning,99,128.962,105.8564,109.5658,100.5,
Learning,99,129.464,113.2153,110.11,68.94997,
Learning,99,129.978,120.4057,112.9169,67.44999,
Learning,99,130.481,126.4408,117.2574,36.54999,
Learning,99,130.995,129.0255,124.4803,14.59999,
Learning,99,131.498,130.9212,131.773,14.19999,
Learning,99,131.998,130.7584,139.2361,355.9,
Learning,99,132.514,132.3579,146.7162,20.74999,
Learning,99,133.03,135.0872,153.9688,20.64999,
Learning,99,133.531,138.0494,160.847,31.79999,
Learning,99,134.047,143.9354,165.5074,76.64999,
Learning,99,134.547,151.3198,166.8252,80,
Learning,99,135.047,158.6819,168.2461,75.85001,
Learning,99,135.547,166.0408,169.6777,82.85003,
Learning,99,136.063,173.7329,170.5829,83.60003,
Learning,99,136.564,181.1836,171.4806,81.85003,
Learning,99,137.064,188.5984,172.6528,80.90002,
Learning,99,137.58,196.2572,173.755,83.35003,
Learning,99,138.08,203.6708,173.2436,106.75,
Learning,99,138.597,208.5323,167.7551,160.65,
Learning,99,139.098,211.0154,160.6613,161.3,
Learning,99,139.598,212.4745,153.3201,171.75,
Learning,99,140.113,213.4895,145.6529,173.75,
Learning,99,140.614,214.3068,138.1899,173.75,
Learning,99,141.114,214.5854,130.6976,179,
Learning,99,141.614,214.7164,123.1929,179,
Learning,99,142.131,214.8517,115.442,179,
Learning,99,142.647,214.9866,107.7126,179,
Learning,99,143.147,215.1175,100.2134,179,
Learning,99,143.663,215.2528,92.46413,179,
Learning,99,144.163,215.3837,84.96381,179,
Learning,99,144.68,215.5189,77.2196,179,
Learning,99,145.18,215.6498,69.71677,179,
Learning,99,145.68,215.7616,62.21647,179.4,
Learning,99,146.197,215.7892,54.4681,180,
Learning,99,146.697,215.7879,46.96362,179.95,
Learning,99,147.214,215.8811,39.21446,179.3,
Learning,99,147.73,215.801,31.47437,181.95,
Learning,99,148.231,214.7605,24.07053,198.65,
Learning,99,148.732,210.4973,18.01377,234.05,
Learning,99,149.248,203.2143,15.4927,253.45,
Learning,99,149.748,196.0161,13.3738,255.8,
Learning,99,150.248,188.5785,12.53011,267.1,
Learning,99,150.749,181.08,12.14982,267.0001,
Learning,99,151.263,173.3727,11.7459,267.0001,
Learning,99,151.779,165.6484,11.3435,267.05,
Learning,99,152.282,158.1152,10.9553,267.05,
Learning,99,152.799,150.3749,10.55554,266.9501,
Learning,99,153.313,142.664,10.12463,266.7501,
Learning,99,153.829,134.9668,9.472746,263.7001,
Learning,99,154.33,127.5106,8.466059,260.7,
Learning,99,154.845,119.8496,7.514539,268.6501,
Learning,99,155.347,112.3668,8.285707,276.8,
Learning,99,155.864,104.7972,9.738594,295.45,
Learning,99,156.365,99.54752,14.95409,334.1,
Learning,99,156.882,97.62583,22.46113,347.05,
Learning,99,157.382,95.99885,29.78287,348.4,
Learning,99,157.898,94.63702,37.39608,351.15,
Learning,99,158.398,93.48259,44.81045,351.15,
Learning,99,158.915,92.29072,52.4653,351.15,
Learning,99,159.415,90.96462,59.84643,342.35,
Learning,99,159.932,86.32876,65.82154,304.35,
Learning,99,160.449,80.08881,70.41661,307.2,
Learning,99,160.963,72.77493,72.18016,269.85,
Learning,99,161.464,65.66682,70.57749,231.7,
Learning,99,161.98,60.06084,65.28352,211.4,
Learning,99,162.496,57.49437,57.99943,197,
Learning,99,162.997,55.27303,50.83155,197.25,
Learning,99,163.497,52.86743,43.72809,201.25,
Learning,99,163.998,48.53133,37.75784,237.1,
Learning,99,164.514,41.2103,35.32757,253.95,
Learning,99,165.029,33.87658,32.88985,248.95,
Learning,99,165.53,26.6142,31.33306,272.95,
Learning,99,166.031,20.38662,34.77761,332.45,
Learning,99,166.548,17.04926,41.76266,338.55,
Learning,99,167.048,15.83801,49.15463,354.95,
Learning,99,167.564,15.17655,56.86277,355.1,
Learning,99,168.064,14.53547,64.34064,355.1,
Learning,99,168.581,13.87316,72.06623,355.1,
Learning,99,169.097,13.21207,79.77758,355.1,
Learning,99,169.598,13.20772,87.27776,2.250041,
Learning,99,170.113,13.4903,95.00124,2.000041,
Learning,99,170.614,13.75247,102.5084,2.000041,
Learning,99,171.131,14.02298,110.2548,2.000041,
Learning,99,171.647,14.1962,117.9892,0.2000411,
Learning,99,172.147,14.2224,125.4949,0.2000411,
Learning,99,172.647,14.24859,132.9952,0.2000411,
Learning,99,173.163,14.26386,140.734,359.9001,
Learning,99,173.663,14.25076,148.2405,359.9001,
Learning,99,174.181,14.01971,156.0032,357.5,
Learning,99,174.697,13.67648,163.7298,356.95,
Learning,99,175.213,13.05635,171.4464,356.05,
Learning,99,175.728,13.47771,179.0946,19.80004,
Learning,99,176.231,18.17906,184.7857,62.05004,
Learning,99,176.745,25.42547,187.4441,70.45006,
Learning,99,177.247,32.66313,189.5274,74.55005,
Learning,99,177.762,40.0655,191.688,72.75006,
Learning,99,178.263,47.46478,192.41,93.85008,
Learning,99,178.764,54.95178,191.9114,93.45008,
Learning,99,179.28,62.64347,191.1911,108.5501,
Learning,99,179.781,67.92416,186.1179,152.1001,
Learning,99,180.281,69.45903,178.7968,169.1001,
Learning,99,180.795,70.17477,171.1288,178.6501,
Learning,99,181.298,70.18902,163.5925,181.3501,
Learning,99,181.814,69.98039,155.8569,181.7001,
Learning,99,182.314,69.75155,148.3533,181.7501,
Learning,99,182.814,69.52249,140.8564,181.7501,
Learning,99,183.315,69.477,133.3517,178.0501,
Learning,99,183.815,71.7854,126.4283,135.5001,
Learning,99,184.331,77.20658,120.8984,135.9001,
Learning,99,184.848,83.11381,115.968,114.35,
Learning,99,185.363,90.63922,114.4412,95.75004,
Learning,99,185.863,98.10142,113.6897,95.75004,
Learning,99,186.379,105.7903,112.8301,97.85005,
Learning,99,186.881,113.2748,112.2362,88.30003,
Learning,99,187.396,120.6995,114.1251,65.15002,
Learning,99,187.897,126.5641,118.6448,31.05002,
Learning,99,188.397,128.815,125.7672,12.90001,
Learning,99,188.897,130.4813,133.0799,12.55001,
Learning,99,189.413,131.5485,140.7332,2.400013,
Learning,99,189.913,132.0953,148.2149,7.250014,
Learning,99,190.414,133.3811,155.6062,12.60001,
Learning,99,190.93,136.6836,162.4619,47.70002,
Learning,99,191.446,143.671,165.7175,69.65003,
Learning,99,191.947,150.8204,167.933,81.80003,
Learning,99,192.463,158.5067,168.7813,88.95004,
Learning,99,192.963,166.0075,168.9255,88.85003,
Learning,99,193.479,173.7423,169.3443,86.20003,
Learning,99,193.98,181.233,169.8444,85.85004,
Learning,99,194.496,188.9409,170.528,84.80003,
Learning,99,194.996,196.4177,171.1872,85.75002,
Learning,99,195.497,203.7869,170.4549,115.25,
Learning,99,196.013,208.831,164.8048,157.7,
Learning,99,196.514,210.4488,157.4825,168.85,
Learning,99,197.029,211.9443,149.8951,168.85,
Learning,99,197.53,213.3994,142.5248,168.7,
Learning,99,198.03,214.8591,135.1667,170.1,
Learning,99,198.53,214.9924,127.6693,180.2,
Learning,99,199.03,214.9662,120.1687,180.2,
Learning,99,199.531,214.94,112.6675,180.2,
Learning,99,200.046,214.913,104.9354,180.2,
Learning,99,200.546,214.8868,97.4343,180.2,
Learning,99,201.062,214.8598,89.68873,180.2,
Learning,99,201.578,214.8328,81.96168,180.2,
Learning,99,202.08,214.8065,74.42673,180.2,
Learning,99,202.595,214.8608,66.6982,178.95,
Learning,99,203.095,214.9982,59.1979,178.95,
Learning,99,203.596,215.1548,51.69226,178.55,
Learning,99,204.096,215.6053,44.20216,173.95,
Learning,99,204.597,216.3793,36.7377,175.6,
Learning,99,205.097,216.4661,29.25557,189.25,
Learning,99,205.598,213.106,22.78097,230.75,
Learning,99,206.113,207.1992,17.80137,227.7,
Learning,99,206.614,200.7834,14.21051,255.7,
Learning,99,207.114,193.3934,13.08217,268.25,
Learning,99,207.615,185.8871,12.86129,268.65,
Learning,99,208.131,178.1503,12.68005,268.8,
Learning,99,208.631,170.6482,12.5356,268.9,
Learning,99,209.148,162.9022,12.38687,268.9,
Learning,99,209.664,155.1615,12.23522,268.65,
Learning,99,210.164,147.6608,12.01742,267.3,
Learning,99,210.68,139.9292,11.75487,269.25,
Learning,99,211.196,132.1942,11.96497,272.05,
Learning,99,211.697,124.6837,11.97711,268.7,
Learning,99,212.211,116.9942,11.35999,266,
