Source, Destination, Distance
Couc,Statu,3.25
Couc,Bicycl,5.25
Couc,Fridg,5.5
Couc,Streetlam,6.75
Couc,Watercoole,8.25
Couc,Des,8.25
Couc,Cloc,5.0
Couc,Stepladde,4.75
Couc,Phonebot,2.5
Couc,Swin,3.5
Couc,T,6.75
Statu,Bicycl,2.5
Statu,Fridg,4.0
Statu,Streetlam,5.25
Statu,Watercoole,5.25
Statu,Des,6.75
Statu,Cloc,6.75
Statu,Stepladde,5.5
Statu,Phonebot,5.5
Statu,Swin,7.0
Statu,T,9.5
Bicycl,Fridg,2.5
Bicycl,Streetlam,3.75
Bicycl,Watercoole,3.25
Bicycl,Des,5.25
Bicycl,Cloc,5.25
Bicycl,Stepladde,4.0
Bicycl,Phonebot,5.75
Bicycl,Swin,6.5
Bicycl,T,8.0
Fridg,Streetlam,3.25
Fridg,Watercoole,3.25
Fridg,Des,4.75
Fridg,Cloc,3.0
Fridg,Stepladde,1.75
Fridg,Phonebot,4.0
Fridg,Swin,4.25
Fridg,T,5.75
Streetlam,Watercoole,2.5
Streetlam,Des,3.5
Streetlam,Cloc,2.5
Streetlam,Stepladde,2.5
Streetlam,Phonebot,5.0
Streetlam,Swin,3.5
Streetlam,T,5.0
Watercoole,Des,2.5
Watercoole,Cloc,4.0
Watercoole,Stepladde,4.0
Watercoole,Phonebot,6.75
Watercoole,Swin,5.25
Watercoole,T,5.75
Des,Cloc,3.5
Des,Stepladde,3.75
Des,Phonebot,6.5
Des,Swin,5.0
Des,T,3.75
Cloc,Stepladde,1.0
Cloc,Phonebot,3.25
Cloc,Swin,1.75
Cloc,T,2.5
Stepladde,Phonebot,3.25
Stepladde,Swin,2.5
Stepladde,T,3.75
Phonebot,Swin,1.75
Phonebot,T,5.0
Swin,T,3.5
